City,Date,Precip,Weather,Dewpoint,Pressure,Visibility,Windspeed,MaxSpeed,TempMax,TempMin
"ATLANTA 2.3 NE, GA US",1/18/2020,0,sun,30,1029.9,10,8.9,13,55.9,43
"ATLANTA 2.3 NE, GA US",1/19/2020,0.54,rain,37,1020.5,8.1,10.5,19,55.9,39.9
"ATLANTA 2.3 NE, GA US",1/20/2020,0,sun,16.4,1026.3,10,11.6,15.9,55.9,25
"ATLANTA 2.3 NE, GA US",1/21/2020,0,sun,15.5,1029.8,10,8.9,17.1,41,23
"ATLANTA 2.3 NE, GA US",1/22/2020,0,sun,13.7,1028.6,10,7.5,14,50,23
"ATLANTA 2.3 NE, GA US",1/23/2020,0,sun,22.3,1024.2,9.9,10,17.1,50,24.1
"ATLANTA 2.3 NE, GA US",1/24/2020,0.84,rain,40.8,1016.9,4.7,7.5,13,59,37.9
"ATLANTA 2.3 NE, GA US",1/25/2020,0.06,rain,32.8,1017.6,10,8.7,17.1,59,37
"ATLANTA 2.3 NE, GA US",1/26/2020,0,sun,30.3,1019.4,10,6.6,9.9,51.1,33.1
"ATLANTA 2.3 NE, GA US",1/27/2020,0.01,drizzle,39,1015,10,4.6,13,53.1,33.1
"ATLANTA 2.3 NE, GA US",1/28/2020,0.01,drizzle,34.8,1016.2,10,6.8,12,59,37
"ATLANTA 2.3 NE, GA US",1/29/2020,0,sun,32.5,1016.4,10,4.2,9.9,59,37
"ATLANTA 2.3 NE, GA US",1/30/2020,0,sun,35.5,1018.7,10,6.9,8.9,59,39.9
"ATLANTA 2.3 NE, GA US",1/31/2020,0.02,rain,36.9,1021.2,7.9,8.8,13,59,39.9
"ATLANTA 2.3 NE, GA US",2/1/2020,0,sun,37.7,1017.7,7,6.2,12,50,39.2
"ATLANTA 2.3 NE, GA US",2/2/2020,0,sun,32.9,1017.2,10,8.7,12,66,35.1
"ATLANTA 2.3 NE, GA US",2/3/2020,0,sun,35.2,1017.6,10,6,14,75.9,35.1
"ATLANTA 2.3 NE, GA US",2/4/2020,0,sun,48,1016.9,10,8.3,11.1,75.9,42.1
"ATLANTA 2.3 NE, GA US",2/5/2020,0.05,rain,58.1,1013.2,8.2,8.5,12,69.1,57
"ATLANTA 2.3 NE, GA US",2/6/2020,1.01,rain,60.7,1001.8,5.2,9.8,22.9,72,60.1
"ATLANTA 2.3 NE, GA US",2/7/2020,2.32,rain,34.9,1005.3,8.9,12.9,22,72,37
"ATLANTA 2.3 NE, GA US",2/8/2020,0.15,rain,29.4,1022.8,8.2,3,7,50,30.9
"ATLANTA 2.3 NE, GA US",2/9/2020,0,sun,34.7,1030,3.9,5.3,9.9,55.9,30.9
"ATLANTA 2.3 NE, GA US",2/10/2020,0,sun,39.2,1026,8,6.8,11.1,55.9,34
"ATLANTA 2.3 NE, GA US",2/11/2020,1.63,rain,58,1017.1,5.7,8.7,19,70,39
"ATLANTA 2.3 NE, GA US",2/12/2020,0.12,rain,55.6,1017.2,7.5,6.5,13,73,52
"ATLANTA 2.3 NE, GA US",2/13/2020,0.67,rain,57.4,1012.3,8.8,11.7,25.1,73,50
"ATLANTA 2.3 NE, GA US",2/14/2020,0.54,rain,27.3,1024.7,10,11.7,15.9,52,35.1
"ATLANTA 2.3 NE, GA US",2/15/2020,0,sun,22.2,1030,10,7.8,14,55.9,32
"ATLANTA 2.3 NE, GA US",2/16/2020,0,sun,36.1,1024.3,7.2,5.2,8.9,55.9,32
"ATLANTA 2.3 NE, GA US",2/17/2020,0,sun,44.4,1020,2.5,4.8,8,53.1,42.1
"ATLANTA 2.3 NE, GA US",2/18/2020,0,sun,52.4,1020.5,1,6,12,62.1,44.1
"ATLANTA 2.3 NE, GA US",2/19/2020,1.57,rain,51.1,1022.1,4.9,7.1,18.1,62.1,50
"ATLANTA 2.3 NE, GA US",2/20/2020,0.16,rain,40.8,1025,5.8,12.1,17.1,60.1,39
"ATLANTA 2.3 NE, GA US",2/21/2020,0.94,rain,30.8,1029.7,8.8,8.1,11.1,48,33.8
"ATLANTA 2.3 NE, GA US",2/22/2020,0,sun,25,1031.2,10,3.2,8,55.9,30
"ATLANTA 2.3 NE, GA US",2/23/2020,0,sun,26,1025.8,10,2.3,7,57,30
"ATLANTA 2.3 NE, GA US",2/24/2020,0.1,rain,37.7,1018.4,7.1,4.6,9.9,57,37
"ATLANTA 2.3 NE, GA US",2/25/2020,0.97,rain,49.2,1010.3,3.4,5.6,12,69.1,45
"ATLANTA 2.3 NE, GA US",2/26/2020,0.02,rain,43.9,1012.1,10,6.5,19,69.1,46
"ATLANTA 2.3 NE, GA US",2/27/2020,0.03,rain,24,1020.1,10,13.7,20,55,33.1
"ATLANTA 2.3 NE, GA US",2/28/2020,0,sun,23.6,1021.4,10,8.8,19,54,32
"ATLANTA 2.3 NE, GA US",2/29/2020,0,sun,27.2,1022,10,11.5,22,55.9,32
"ATLANTA 2.3 NE, GA US",3/1/2020,0,sun,25.2,1024.6,10,4.3,8.9,64,34
"ATLANTA 2.3 NE, GA US",3/2/2020,0,sun,39.1,1019.4,8.3,6.1,9.9,64,34
"ATLANTA 2.3 NE, GA US",3/3/2020,0.98,rain,57.6,1011.2,6.1,7,15.9,69.1,46.9
"ATLANTA 2.3 NE, GA US",3/4/2020,0.34,rain,53.8,1014.2,7.7,5.4,9.9,69.1,54
"ATLANTA 2.3 NE, GA US",3/5/2020,1.78,rain,48.5,1016.6,4.6,9.1,18.1,62.1,50
"ATLANTA 2.3 NE, GA US",3/6/2020,0.87,rain,37.4,1020,10,11.9,20,57.9,45
"ATLANTA 2.3 NE, GA US",3/7/2020,0,sun,24.3,1029,10,9.4,20,59,33.1
"ATLANTA 2.3 NE, GA US",3/8/2020,0,sun,28.2,1033.4,10,5.5,12,62.1,33.1
"ATLANTA 2.3 NE, GA US",3/9/2020,0,sun,35.8,1033.2,10,6.2,11.1,66.9,37.9
"ATLANTA 2.3 NE, GA US",3/10/2020,0.05,rain,49,1027.9,9.5,6.2,12,66.9,43
"ATLANTA 2.3 NE, GA US",3/11/2020,0.06,rain,55,1021.2,8.4,5.7,15,72,55
"ATLANTA 2.3 NE, GA US",3/12/2020,0.26,rain,58.2,1015.8,7,4.4,11.1,75.9,55
"ATLANTA 2.3 NE, GA US",3/13/2020,0.02,rain,58.5,1017.2,10,7.5,12,75.9,60.1
"ATLANTA 2.3 NE, GA US",3/14/2020,0,sun,54.3,1023.7,10,4.9,11.1,81,57
"ATLANTA 2.3 NE, GA US",3/15/2020,0,sun,52.2,1024.4,10,7.8,12,81,57
"ATLANTA 2.3 NE, GA US",3/16/2020,0,sun,51.7,1025.8,8.2,7.5,14,71.1,52
"ATLANTA 2.3 NE, GA US",3/17/2020,0,sun,51.1,1024.1,5.1,5.5,11.1,68,51.1
"ATLANTA 2.3 NE, GA US",3/18/2020,0,sun,57.4,1023.8,7.7,4.3,8,78.1,51.1
"ATLANTA 2.3 NE, GA US",3/19/2020,0,sun,59.5,1023.5,5.3,6.7,13,81,55.9
"ATLANTA 2.3 NE, GA US",3/20/2020,0.08,rain,59,1023,10,7.2,15,82.9,59
"ATLANTA 2.3 NE, GA US",3/21/2020,0.08,rain,56.7,1023.6,9.5,8,22.9,82.9,61
"ATLANTA 2.3 NE, GA US",3/22/2020,0.06,rain,47.8,1024.9,9.9,8.5,15,73.9,46.9
"ATLANTA 2.3 NE, GA US",3/23/2020,1.59,rain,51.7,1022.9,2.6,7.4,12,63,46.9
"ATLANTA 2.3 NE, GA US",3/24/2020,0.81,rain,60.3,1016.1,3.6,4.5,15,78.1,51.1
"ATLANTA 2.3 NE, GA US",3/25/2020,0,sun,57.6,1010.9,9.3,8.9,15,78.1,60.1
"ATLANTA 2.3 NE, GA US",3/26/2020,0,sun,50.1,1015.2,10,5.7,8.9,80.1,52
"ATLANTA 2.3 NE, GA US",3/27/2020,0,sun,55.4,1013.7,9.8,5.3,13,84.9,52
"ATLANTA 2.3 NE, GA US",3/28/2020,0,sun,60.9,1014.2,10,7.8,15,84.9,60.1
"ATLANTA 2.3 NE, GA US",3/29/2020,0,sun,58.1,1015.9,9.8,8.9,19,84,66
"ATLANTA 2.3 NE, GA US",3/30/2020,0,sun,39.5,1019.7,10,8.7,12,79,60.1
"ATLANTA 2.3 NE, GA US",3/31/2020,0,sun,42.7,1010,9.3,7.7,20,75,52
"ATLANTA 2.3 NE, GA US",4/1/2020,0.36,rain,36.8,1011.9,10,13.4,19,64,42.1
"ATLANTA 2.3 NE, GA US",4/2/2020,0,sun,36,1017.6,10,5.8,11.1,69.1,39.9
"ATLANTA 2.3 NE, GA US",4/3/2020,0,sun,36.3,1016,10,6.4,8.9,78.1,39.9
"ATLANTA 2.3 NE, GA US",4/4/2020,0,sun,40.2,1014.2,10,5.3,9.9,78.1,48
"ATLANTA 2.3 NE, GA US",4/5/2020,0,sun,45.8,1015.3,10,2.8,5.1,80.1,55.9
"ATLANTA 2.3 NE, GA US",4/6/2020,0,sun,52.2,1017.9,10,5,11.1,82.9,57.9
"ATLANTA 2.3 NE, GA US",4/7/2020,0,sun,55.9,1017.1,10,5.8,13,82.9,57.9
"ATLANTA 2.3 NE, GA US",4/8/2020,0,sun,61.5,1011.9,8.6,6.4,9.9,81,62.1
"ATLANTA 2.3 NE, GA US",4/9/2020,0.31,rain,58.8,1007.6,9.4,10.3,19,81,62.1
"ATLANTA 2.3 NE, GA US",4/10/2020,0,sun,29.1,1011.8,10,13.2,20,78.1,51.1
"ATLANTA 2.3 NE, GA US",4/11/2020,0,sun,28.8,1017.5,10,6.4,9.9,71.1,39.9
"ATLANTA 2.3 NE, GA US",4/12/2020,0,sun,45.8,1014.3,6.8,6.6,15.9,71.6,52
"ATLANTA 2.3 NE, GA US",4/13/2020,1.05,rain,58.2,1009.9,8.7,12.9,25.1,75,50
"ATLANTA 2.3 NE, GA US",4/14/2020,0,sun,46,1017,10,8,13,73.9,46.9
"ATLANTA 2.3 NE, GA US",4/15/2020,0,sun,30.1,1016.1,10,11.5,15,72,41
"ATLANTA 2.3 NE, GA US",4/16/2020,0,sun,26.3,1022.8,10,7.3,13,69.1,41
"ATLANTA 2.3 NE, GA US",4/17/2020,0,sun,39.2,1023,10,5.5,13,73.9,42.1
"ATLANTA 2.3 NE, GA US",4/18/2020,0.03,rain,46.5,1015.3,9.7,8.9,15.9,73.9,46.9
"ATLANTA 2.3 NE, GA US",4/19/2020,0,sun,42.2,1013.2,6.6,5.9,8.9,70,46.9
"ATLANTA 2.3 NE, GA US",4/20/2020,2.37,rain,51.3,1006.4,5.6,9.3,15.9,71.1,46.9
"ATLANTA 2.3 NE, GA US",4/21/2020,0.02,rain,45.8,1012,10,9.1,20,75,53.1
"ATLANTA 2.3 NE, GA US",4/22/2020,0,sun,39.2,1017.1,10,6.4,12,75,48.9
"ATLANTA 2.3 NE, GA US",4/23/2020,0.21,rain,51,1013.6,9,7.5,21,72,48.9
"ATLANTA 2.3 NE, GA US",4/24/2020,0.73,rain,56.2,1007.9,9.9,8.9,20,72,54
"ATLANTA 2.3 NE, GA US",4/25/2020,0,sun,53.2,1010.6,10,6.1,15,80.1,55
"ATLANTA 2.3 NE, GA US",4/26/2020,0.01,drizzle,46.2,1013.5,10,12.2,21,80.1,52
"ATLANTA 2.3 NE, GA US",4/27/2020,0,sun,38.9,1021,10,10.9,22.9,73,46
"ATLANTA 2.3 NE, GA US",4/28/2020,0,sun,42.4,1021,10,4,8.9,79,46
"ATLANTA 2.3 NE, GA US",4/29/2020,0,sun,52.4,1013.5,9.8,8.5,15.9,79,53.1
"ATLANTA 2.3 NE, GA US",4/30/2020,0.73,rain,51.2,1009.9,9.5,8.4,20,71.1,53.1
"ATLANTA 2.3 NE, GA US",5/1/2020,0,sun,42.3,1015.5,10,8.9,15,75,48
"ATLANTA 2.3 NE, GA US",5/2/2020,0,sun,43.3,1020,10,4.4,8.9,82,48
"ATLANTA 2.3 NE, GA US",5/3/2020,0,sun,51.2,1017.8,10,6.2,11.1,84.9,52
"ATLANTA 2.3 NE, GA US",5/4/2020,0,sun,56.9,1013.9,10,5.8,8,86,57.9
"ATLANTA 2.3 NE, GA US",5/5/2020,0,sun,62.7,1011.5,10,7.2,13,86,61
"ATLANTA 2.3 NE, GA US",5/6/2020,0,sun,47.7,1012.6,10,13.8,22,84,54
"ATLANTA 2.3 NE, GA US",5/7/2020,0,sun,37,1019.3,10,10.6,18.1,73.9,45
"ATLANTA 2.3 NE, GA US",5/8/2020,0,sun,42.2,1016.3,9.7,4.7,9.9,69.1,45
"ATLANTA 2.3 NE, GA US",5/9/2020,0.15,rain,36.9,1019.7,9.4,9.8,19,66,44.1
"ATLANTA 2.3 NE, GA US",5/10/2020,0,sun,34.6,1022.6,10,4.8,8.9,73.9,42.1
"ATLANTA 2.3 NE, GA US",5/11/2020,0,sun,34.9,1020.9,10,10.3,15.9,73.9,42.1
"ATLANTA 2.3 NE, GA US",5/12/2020,0,sun,36.9,1023.1,10,5.4,11.1,73.9,48.9
"ATLANTA 2.3 NE, GA US",5/13/2020,0,sun,48,1023.3,10,5.8,11.1,80.1,48.9
"ATLANTA 2.3 NE, GA US",5/14/2020,0,sun,56.2,1023,10,7.1,11.1,82.9,55.9
"ATLANTA 2.3 NE, GA US",5/15/2020,0,sun,56.2,1020.1,10,6.3,8.9,82.9,61
"ATLANTA 2.3 NE, GA US",5/16/2020,0,sun,57.3,1016.6,10,4.8,9.9,84.9,61
"ATLANTA 2.3 NE, GA US",5/17/2020,0,sun,59.7,1014.7,10,5.9,12,84.9,63
"ATLANTA 2.3 NE, GA US",5/18/2020,1.74,rain,65.4,1010.5,8.2,5.5,11.1,84.9,64.9
"ATLANTA 2.3 NE, GA US",5/19/2020,0.33,rain,59.9,1008,9.3,7.6,14,75,62.6
"ATLANTA 2.3 NE, GA US",5/20/2020,0.48,rain,54.7,1011.8,9.7,10.2,15,75.9,57.9
"ATLANTA 2.3 NE, GA US",5/21/2020,0.02,rain,53.5,1015.8,8.8,5.7,12,75,54
"ATLANTA 2.3 NE, GA US",5/22/2020,0,sun,62,1017.2,10,5.5,11.1,86,54
"ATLANTA 2.3 NE, GA US",5/23/2020,0.04,rain,64.7,1017.9,9.9,5,15.9,86,64
"ATLANTA 2.3 NE, GA US",5/24/2020,0.06,rain,64.7,1017.5,10,3.9,12,88,64.9
"ATLANTA 2.3 NE, GA US",5/25/2020,0,sun,64.6,1016.8,9.7,6.5,18.1,88,68
"ATLANTA 2.3 NE, GA US",5/26/2020,0.26,rain,64.8,1017.1,9,9.6,18.1,84.9,68
"ATLANTA 2.3 NE, GA US",5/27/2020,0.03,rain,64.4,1015.5,7.9,9.6,14,75,68
"ATLANTA 2.3 NE, GA US",5/28/2020,0.86,rain,66,1015.4,6.5,5.4,14,84,66
"ATLANTA 2.3 NE, GA US",5/29/2020,0.02,rain,67.3,1016.4,9.9,3.6,9.9,84,66.9
"ATLANTA 2.3 NE, GA US",5/30/2020,0.9,rain,64.5,1016.5,10,5.5,11.1,86,66.9
"ATLANTA 2.3 NE, GA US",5/31/2020,0,sun,57.6,1017.2,10,6.4,9.9,86,63
"ATLANTA 2.3 NE, GA US",6/1/2020,0,sun,57.6,1021,10,8.9,13,84.9,63
"ATLANTA 2.3 NE, GA US",6/2/2020,0,sun,60,1021.7,10,5.5,8,84.9,66
"ATLANTA 2.3 NE, GA US",6/3/2020,0,sun,64.1,1017.4,10,5,8.9,87.1,66
"ATLANTA 2.3 NE, GA US",6/4/2020,0,sun,66.1,1013.7,9.7,6.5,9.9,89.1,69.1
"ATLANTA 2.3 NE, GA US",6/5/2020,0.01,rain,67.4,1013.9,9.8,6.4,12,89.1,70
"ATLANTA 2.3 NE, GA US",6/6/2020,0.43,rain,67.7,1015.4,9.7,3.8,18.1,87.1,69.1
"ATLANTA 2.3 NE, GA US",6/7/2020,0,sun,68.4,1014.2,9.9,4.7,9.9,87.1,69.1
"ATLANTA 2.3 NE, GA US",6/8/2020,0,sun,70.1,1012.8,9.9,6.9,9.9,84.9,71.1
"ATLANTA 2.3 NE, GA US",6/9/2020,0.77,rain,71.3,1013.9,9.6,6.7,21,86,73
"ATLANTA 2.3 NE, GA US",6/10/2020,0.08,rain,71.5,1014.8,8.5,6.5,14,86,73
"ATLANTA 2.3 NE, GA US",6/11/2020,0.94,rain,65.2,1017.7,10,9.3,15,84,68
"ATLANTA 2.3 NE, GA US",6/12/2020,0.02,rain,59.9,1019.5,10,8.1,15.9,88,66
"ATLANTA 2.3 NE, GA US",6/13/2020,0.01,drizzle,59.2,1018.6,10,6.9,13,88,66
"ATLANTA 2.3 NE, GA US",6/14/2020,0,sun,58.9,1020.2,9.7,4.9,32.1,87.1,66.9
"ATLANTA 2.3 NE, GA US",6/15/2020,1.02,rain,59.9,1021.3,10,7.6,32.1,81,63
"ATLANTA 2.3 NE, GA US",6/16/2020,0,sun,55.5,1021.9,10,9.9,14,80.1,61
"ATLANTA 2.3 NE, GA US",6/17/2020,0,sun,55.2,1019.9,10,5.4,11.1,75.9,59
"ATLANTA 2.3 NE, GA US",6/18/2020,0,sun,58.4,1017.6,10,4,9.9,82.9,59
"ATLANTA 2.3 NE, GA US",6/19/2020,0,sun,61,1018,10,3.4,8.9,87.1,61
"ATLANTA 2.3 NE, GA US",6/20/2020,0,sun,61.7,1017.7,10,4.1,8.9,90,66.9
"ATLANTA 2.3 NE, GA US",6/21/2020,0,sun,64.1,1015.7,10,3.8,27,90,66.9
"ATLANTA 2.3 NE, GA US",6/22/2020,0.02,rain,67.1,1016.4,9.7,3.5,15.9,90,69.1
"ATLANTA 2.3 NE, GA US",6/23/2020,0.52,rain,68,1013.4,9.9,8,13,87.1,69.1
"ATLANTA 2.3 NE, GA US",6/24/2020,0.22,rain,66.6,1013.8,10,8.3,9.9,86,69.1
"ATLANTA 2.3 NE, GA US",6/25/2020,0.02,rain,67.9,1017.1,8.8,5.4,9.9,82.9,69.1
"ATLANTA 2.3 NE, GA US",6/26/2020,0,sun,66.4,1021.4,9.8,7.7,15,86,68
"ATLANTA 2.3 NE, GA US",6/27/2020,0.02,rain,64.2,1020,7.2,7.4,29.9,88,68
"ATLANTA 2.3 NE, GA US",6/28/2020,0.6,rain,69.8,1015.7,10,7.2,13,90,68
"ATLANTA 2.3 NE, GA US",6/29/2020,0,sun,68.4,1015.1,10,7.2,11.1,93,73
"ATLANTA 2.3 NE, GA US",6/30/2020,0,sun,67.1,1014.9,10,7.3,19,93,72
"ATLANTA 2.3 NE, GA US",7/1/2020,0.49,rain,67.6,1013.4,10,6.9,19,91,69.1
"ATLANTA 2.3 NE, GA US",7/2/2020,0.06,rain,68.4,1012.6,9.8,7.6,20,89.1,69.1
"ATLANTA 2.3 NE, GA US",7/3/2020,0.01,drizzle,68.9,1013.4,9.9,4.4,8,93,71.1
"ATLANTA 2.3 NE, GA US",7/4/2020,0,sun,68.4,1013.1,9.7,2.6,14,93,73
"ATLANTA 2.3 NE, GA US",7/5/2020,0.91,rain,68.5,1013.1,6.7,5.2,14,91.9,73
"ATLANTA 2.3 NE, GA US",7/6/2020,0,sun,67.9,1014.3,9.1,6.8,17.1,91.9,73
"ATLANTA 2.3 NE, GA US",7/7/2020,0.31,rain,70.2,1014.6,9.3,7,11.1,87.1,73
"ATLANTA 2.3 NE, GA US",7/8/2020,0.03,rain,70.2,1013.8,10,5.4,8.9,87.1,73
"ATLANTA 2.3 NE, GA US",7/9/2020,0,sun,70.1,1012.7,9.9,5.6,13,89.1,73
"ATLANTA 2.3 NE, GA US",7/10/2020,0.22,rain,71.5,1013.4,8.5,5.1,13,91.9,71.6
"ATLANTA 2.3 NE, GA US",7/11/2020,0,sun,66.5,1012.4,10,10.4,15.9,91.9,72
"ATLANTA 2.3 NE, GA US",7/12/2020,0,sun,64.1,1011.7,10,6.4,9.9,91.9,69.1
"ATLANTA 2.3 NE, GA US",7/13/2020,0,sun,67.9,1011.5,8.9,6.9,14,90,68
"ATLANTA 2.3 NE, GA US",7/14/2020,0,sun,66.4,1014.5,10,5.2,8.9,93,68
"ATLANTA 2.3 NE, GA US",7/15/2020,0,sun,68.9,1016.7,9.9,3,8,93,72
"ATLANTA 2.3 NE, GA US",7/16/2020,1.67,rain,70.6,1019.1,9.6,4,9.9,91.9,73
"ATLANTA 2.3 NE, GA US",7/17/2020,0.02,rain,69.8,1020.8,10,3.8,7,93,73
"ATLANTA 2.3 NE, GA US",7/18/2020,0,sun,69.7,1019.5,10,4,14,95,75.9
"ATLANTA 2.3 NE, GA US",7/19/2020,0.2,rain,69.2,1018,10,3,8,95,75
"ATLANTA 2.3 NE, GA US",7/20/2020,0,sun,68.8,1016.5,9.8,4.3,19,95,75
"ATLANTA 2.3 NE, GA US",7/21/2020,0,sun,70.1,1017.3,9.9,3.7,22,95,75
"ATLANTA 2.3 NE, GA US",7/22/2020,0.02,rain,69.9,1018.8,9.7,4.7,8.9,95,73
"ATLANTA 2.3 NE, GA US",7/23/2020,0.02,rain,68.5,1019.6,10,3.6,8.9,93,73
"ATLANTA 2.3 NE, GA US",7/24/2020,0,sun,68.4,1020.6,10,4.6,14,93,73.9
"ATLANTA 2.3 NE, GA US",7/25/2020,0,sun,68.6,1020.3,10,5,12,91,72
"ATLANTA 2.3 NE, GA US",7/26/2020,0.24,rain,68.1,1020.7,10,2.6,6,91,71.1
"ATLANTA 2.3 NE, GA US",7/27/2020,0.03,rain,68.8,1017.9,10,4.3,15,93,71.1
"ATLANTA 2.3 NE, GA US",7/28/2020,0,sun,69.3,1016,10,5.3,15,93,73.9
"ATLANTA 2.3 NE, GA US",7/29/2020,0.01,rain,71,1015.8,9.4,6.2,8.9,89.1,75
"ATLANTA 2.3 NE, GA US",7/30/2020,2.11,rain,71.9,1014.6,9.7,7.5,15.9,88,75
"ATLANTA 2.3 NE, GA US",7/31/2020,0.01,rain,71.4,1013.1,9.9,8.1,11.1,91.9,75
"ATLANTA 2.3 NE, GA US",8/1/2020,0,sun,69.3,1013.5,10,6.7,14,91.9,73
"ATLANTA 2.3 NE, GA US",8/2/2020,0,sun,68.8,1014.5,10,4,8.9,91.9,73
"ATLANTA 2.3 NE, GA US",8/3/2020,0,sun,68.6,1013.9,9.6,5.1,25.1,87.1,71.6
"ATLANTA 2.3 NE, GA US",8/4/2020,1.32,rain,66.1,1014,10,4.9,8.9,91,68
"ATLANTA 2.3 NE, GA US",8/5/2020,0,sun,66.8,1015.1,10,5.2,15.9,91,68
"ATLANTA 2.3 NE, GA US",8/6/2020,0,sun,69.2,1015.2,10,5.5,8,91,73
"ATLANTA 2.3 NE, GA US",8/7/2020,0.51,rain,68.2,1016.8,10,5,9.9,91,73
"ATLANTA 2.3 NE, GA US",8/8/2020,0,sun,67.3,1019.3,10,3.4,9.9,93.9,73
"ATLANTA 2.3 NE, GA US",8/9/2020,0,sun,68.5,1019.9,10,4,9.9,96.1,73
"ATLANTA 2.3 NE, GA US",8/10/2020,0,sun,67.9,1018.5,10,6.2,17.1,96.1,73
"ATLANTA 2.3 NE, GA US",8/11/2020,0,sun,69.4,1016.2,10,5.8,9.9,95,72
"ATLANTA 2.3 NE, GA US",8/12/2020,0.17,rain,70.5,1015.4,10,4.6,13,93.9,72
"ATLANTA 2.3 NE, GA US",8/13/2020,0,sun,70.2,1015.5,10,4.8,8.9,93.9,73.9
"ATLANTA 2.3 NE, GA US",8/14/2020,0.42,rain,70.1,1014.4,9.3,4.4,17.1,93.9,72
"ATLANTA 2.3 NE, GA US",8/15/2020,0,sun,71,1012,8.6,5.2,13,89.1,72
"ATLANTA 2.3 NE, GA US",8/16/2020,0.81,rain,67.6,1012.7,10,7,13,91.9,72
"ATLANTA 2.3 NE, GA US",8/17/2020,0.01,drizzle,68,1014.3,10,5.4,11.1,91.9,72
"ATLANTA 2.3 NE, GA US",8/18/2020,0.01,drizzle,62.7,1013.5,10,6.2,11.1,91.9,70
"ATLANTA 2.3 NE, GA US",8/19/2020,1.43,rain,67,1011.7,10,5.2,19,91.9,70
"ATLANTA 2.3 NE, GA US",8/20/2020,0,sun,67,1013.1,9,7.4,18.1,88,69.1
"ATLANTA 2.3 NE, GA US",8/21/2020,0.14,rain,67.6,1012.6,8.5,6.1,15.9,84,69.1
"ATLANTA 2.3 NE, GA US",8/22/2020,1.13,rain,67.2,1014.1,9,4,8.9,84.9,69.8
"ATLANTA 2.3 NE, GA US",8/23/2020,0.13,rain,68.9,1017.8,10,3.8,9.9,86,70
"ATLANTA 2.3 NE, GA US",8/24/2020,0.04,rain,71.1,1019.2,8.4,6.7,12,86,72
"ATLANTA 2.3 NE, GA US",8/25/2020,0.19,rain,71.1,1019.1,4.9,6.7,11.1,84.9,73
"ATLANTA 2.3 NE, GA US",8/26/2020,0.74,rain,72.9,1018.6,6.3,4.2,15.9,89.1,73
"ATLANTA 2.3 NE, GA US",8/27/2020,0.02,rain,71.5,1017.4,10,4.7,8.9,90,73
"ATLANTA 2.3 NE, GA US",8/28/2020,0,sun,72.9,1015.4,9.9,5.7,9.9,90,73
"ATLANTA 2.3 NE, GA US",8/29/2020,0,sun,71.6,1011.6,10,9.4,13,89.1,75
"ATLANTA 2.3 NE, GA US",8/30/2020,0,sun,72.7,1010.5,8.6,5.9,15.9,91,72
"ATLANTA 2.3 NE, GA US",8/31/2020,0.27,rain,71.5,1011.6,7.6,3.6,12,91,72
"ATLANTA 2.3 NE, GA US",9/1/2020,0.02,rain,72.8,1014.3,10,3.5,11.1,89.1,73
"ATLANTA 2.3 NE, GA US",9/2/2020,0,sun,72.5,1015.3,9.8,5.6,9.9,89.1,73.9
"ATLANTA 2.3 NE, GA US",9/3/2020,0,sun,70.4,1015.2,10,6.3,12,91,73
"ATLANTA 2.3 NE, GA US",9/4/2020,0,sun,69.7,1017.2,10,7.5,12,91.9,73
